			d1	d2	d3	d4	d5
documents	3	3	3	0	0	
five		5	0	0	0	0	
first		5	0	0	0	0	
separated	0	5	0	0	0	
title		0	5	0	0	0	
character	0	5	0	0	0	
will		0	7	0	0	7	
single		0	5	0	0	0	
tab		0	5	0	0	0	
line		0	7	0	7	0	
document	0	5	0	0	0	
whitespace	0	0	5	0	0	
just		0	0	5	0	0	
space		0	0	5	0	0	
tabs		0	0	5	0	0	
rest		0	0	5	0	0	
easier		0	0	5	0	0	
confusing	0	0	5	0	0	
look		0	0	0	5	0	
though		0	0	0	5	0	
carriage	0	0	0	7	7	
entity		0	0	0	5	0	
languages	0	0	0	7	7	
returns		0	0	0	5	0	
allow		0	0	0	5	0	
need		0	0	0	5	0	
return		0	0	0	0	5	
text		0	0	0	0	5	
insist		0	0	0	0	5	
delineated	0	0	0	0	5	
statements	0	0	0	0	5	
block		0	0	0	0	5	
